Task,Training Accuracy,Validation Accuracy,Testing Accuracy
1,1.0,0.99,0.99
2,0.9988888888888889,0.88,0.885
3,0.9622222222222222,0.69,0.696
4,0.9277777777777778,0.71,0.707
5,0.9933333333333333,0.95,0.862
6,0.9955555555555555,0.91,0.92
7,0.9633333333333334,0.86,0.826
8,0.9544444444444444,0.81,0.853
9,0.9944444444444445,0.95,0.954
10,0.9977777777777778,0.86,0.931
11,0.93,0.9,0.885
12,1.0,1.0,0.996
13,0.93,0.89,0.913
14,1.0,0.97,0.986
15,1.0,1.0,0.992
16,0.7022222222222222,0.4,0.447
17,0.7444444444444445,0.61,0.585
18,0.9533333333333334,0.91,0.875
19,0.25333333333333335,0.11,0.082
20,1.0,1.0,1.0
